name_english,price_amount,price_unit,image_url,product_url,dimension_unit,length,width,height,category,category_original,id,uuid,is_active,store_id,time_updated,name_arabic,product_color,source_sheet,main_color,styles
Flamingo Love Figurine 63cm Resin Ornament - Gold,500,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/flamingo-love-figurine-63cm-resin-ornament-gold-1.jpg,https://cityw.com.sa/product/flamingo-love-figurine-63cm-resin-ornament-gold/,cm,38,13,63,statue-and-antique,Accessories,1942142756,2918f9fa-7f35-5ecd-b557-656738f4a944,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Modern, Classy"
French Fries Resin Deco Figurine - Gold & White,220,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/french-fries-resin-deco-figurine-gold-white-1.jpg,https://cityw.com.sa/product/french-fries-resin-deco-figurine-gold-and-white/,cm,45,19,21,vase,Accessories,201257508,2160c53b-51d2-5fe6-b59a-4cc9e19c69b1,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,White,Eclectic
Gentleman Deer Resin Figurine 32cm - Gold & Brown,320,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/gentleman-deer-resin-figurine-32cm-gold-brown-1.jpg,https://cityw.com.sa/product/gentleman-deer-resin-figurine-32cm-gold-and-brown/,cm,17,16,32,statue-and-antique,Accessories,912878113,26bf1f06-ea11-5925-ab0d-016f21086402,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Classy, Modern_Classic"
Gorilla Butler Figurine with Tray 37cm - Gold,610,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/gorilla-butler-figurine-with-tray-37cm-gold-1.jpg,https://cityw.com.sa/product/deco-figurine-gorilla-butler-37cm/,cm,29,32,37,statue-and-antique,Accessories,430241588,37ac6e82-e626-5c3b-b4c3-d40f107cbc72,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Modern, Classy"
Graffiti Art Monkey Resin Figurine - Blue Multicolour,690,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/graffiti-art-monkey-resin-figurine-blue-multicolour-1.jpg,https://cityw.com.sa/product/graffiti-art-monkey-resin-figurine-blue-multicolour/,cm,26,27,39,statue-and-antique,Accessories,1210328427,f7ab4eb6-7a7a-5796-95e7-bac89d1a5b4b,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,,"Contemporary, Eclectic"
Graffiti Dog Resin Figurine Ornament - Gold & Multicolour,270,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/graffiti-dog-resin-figurine-ornament-gold-multicolour-1.jpg,https://cityw.com.sa/product/graffiti-dog-resin-figurine-ornament-gold-and-multicolour/,cm,10,13,20,statue-and-antique,Accessories,1315342834,e43c0f99-c7a8-50a1-996f-789a4f252ee7,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,Eclectic
Graffiti Monkey Resin Figurine 39cm - Red & White,690,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/graffiti-monkey-resin-figurine-39cm-red-white-1.jpg,https://cityw.com.sa/product/graffiti-monkey-resin-figurine-39cm-red-and-white/,cm,28,25,39,statue-and-antique,Accessories,1792480197,39618588-a567-5d12-82be-c4f85462df80,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,,"Contemporary, Eclectic"
Graffiti Monkey Resin Figurine 40cm - Multicolour,690,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/graffiti-monkey-resin-figurine-40cm-multicolour-1.jpg,https://cityw.com.sa/product/graffiti-monkey-resin-figurine-40cm-multicolour/,cm,25,23,40,statue-and-antique,Accessories,1338273247,83b182ff-6bdb-5eb8-9de2-04752aec5376,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,White,Eclectic
Graffiti Print Resin Bulldog Figurine - Multicolour,190,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/graffiti-print-resin-bulldog-figurine-multicolour-1.jpg,https://cityw.com.sa/product/graffiti-print-resin-bulldog-figurine-multicolour/,cm,25,24,15,statue-and-antique,Accessories,2132457526,e1947a7d-8f06-5210-9e39-ea8e034f554d,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,White,Eclectic
Happy Elephant Resin Money Box - Mint Green & Gold,250,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/happy-elephant-resin-money-box-mint-green-gold-1.jpg,https://cityw.com.sa/product/happy-elephant-resin-money-box-mint-green-and-gold/,cm,27,23,38,statue-and-antique,Accessories,1114144524,d776a71b-5e35-5b7e-82e1-f33cee12ba0d,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Teal,"Boho, Eclectic"
Laurel Wreath Metal Sculpture - Gold & Black,470,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/laurel-wreath-metal-sculpture-gold-black-2.jpg,https://cityw.com.sa/product/laurel-wreath-metal-sculpture-gold-and-black/,,,,,vase,Accessories,1899195323,7413c4db-d00b-5349-8ab2-11812cd48aa3,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Bronze,"Modern, Minimalist"
Meditating Gnome Resin Figurine Ornament - Gold & Sage Green,160,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/meditating-gnome-resin-figurine-ornament-gold-sage-green-1.jpg,https://cityw.com.sa/product/meditating-gnome-resin-figurine-gold-and-sage-green/,cm,10,15,18,statue-and-antique,Accessories,639105596,e86ee237-510f-55df-93f6-c05b0c8939c5,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Eclectic, Zen"
Mirrored Glass Serving Tray with Metal Frame - Black,370,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/mirrored-glass-serving-tray-with-metal-frame-black-1.jpg,https://cityw.com.sa/product/mirrored-glass-serving-tray-with-metal-frame-black/,cm,79,36,50,serving-utensil-and-tray,Accessories,699668671,6c250029-2972-55de-9210-6e30f167d7b7,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
Mirrored Metal Decorative Tray - Champagne,370,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/mirrored-metal-decorative-tray-champagne-1.jpg,https://cityw.com.sa/product/mirrored-metal-decorative-tray-champagne/,cm,50,36,82,serving-utensil-and-tray,Accessories,2065804417,fb074fc0-e13c-5b5d-9e37-828573b0bfc9,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Brass,"Modern, Minimalist"
Monkey Figurine Polyresin Deco Bowl - Gold & Green,140,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/monkey-figurine-polyresin-deco-bowl-gold-green-1.jpg,https://cityw.com.sa/product/deco-bowl-banana-leaf-14x24cm/,cm,24,14,21,statue-and-antique,Accessories,1407694897,23af59b5-c96b-5624-b01e-69853460acc0,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Boho, Tropical"
Monkey Figurine Polyresin Money Box - Lime Green & Bronze,400,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/monkey-figurine-polyresin-money-box-lime-green-bronze-1.jpg,https://cityw.com.sa/product/money-box-monkey-iwazaru-lime/,cm,23,22,34,statue-and-antique,Accessories,1624071112,440ea56b-04ff-5141-ab7a-28c7c8e16c60,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,,Boho
Polyresin Gangster Dog Deco Figurine - Cream,280,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/polyresin-gangster-dog-deco-figurine-cream-1.jpg,https://cityw.com.sa/product/deco-figurine-dog-marc-white/,cm,26,17,33,statue-and-antique,Accessories,654289871,361cf618-c439-531e-8fe3-455e2a149510,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,White,"Minimalist, Modern"
Polyresin Monkey Money Box Ornament - Red,400,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/polyresin-monkey-money-box-ornament-red-1.jpg,https://cityw.com.sa/product/money-box-monkey-kikazaru-red/,cm,24,23,35,statue-and-antique,Accessories,2099795000,78bfb26c-1e38-5967-b939-006bcd75ac61,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Ruby,"Modern, Eclectic"
Rectangular Mirrored Metal Decorative Tray - Gold,370,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/rectangular-mirrored-metal-decorative-tray-gold-1.jpg,https://cityw.com.sa/product/rectangular-mirrored-metal-decorative-tray-gold/,cm,50,36,8,serving-utensil-and-tray,Accessories,1168384415,83179be0-17cc-570f-a877-37307124cea7,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Modern, Minimalist"
Resin Bulldog Biker Money Box Ornament - Blue & Tan,220,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/resin-bulldog-biker-money-box-ornament-blue-tan-1.jpg,https://cityw.com.sa/product/resin-bulldog-biker-money-box-ornament-blue-and-tan/,cm,19,16,22,statue-and-antique,Accessories,1757331486,96fb39e1-10c1-5970-9a24-0a0f7e817b7c,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Denim Blue,Eclectic
Resin Dog Statuary Ornament - Multicolour & Gold,160,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/resin-dog-statuary-ornament-multicolour-gold-1.jpg,https://cityw.com.sa/product/resin-dog-statuary-ornament-multicolour-and-gold/,cm,14,20,31,statue-and-antique,Accessories,410155611,5ba4f93e-56bd-53f7-be94-7f61879218f5,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Modern, Eclectic"
Resin Elephant Figurine Ornament - Red & Multicolour,190,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/resin-elephant-figurine-ornament-red-multicolour-1.jpg,https://cityw.com.sa/product/resin-elephant-figurine-ornament-red-and-multicolour/,cm,,,18,statue-and-antique,Accessories,788985823,d1aec887-9100-5a6f-95ea-2c6466d6c220,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Ruby,"Contemporary, Eclectic"
Resin Figure Deco Object 38cm - Black & White,380,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/resin-figure-deco-object-38cm-black-white-1.jpg,https://cityw.com.sa/product/resin-figure-deco-object-38cm-black-and-white/,cm,38,13,30,statue-and-antique,Accessories,2118800178,a6d5abb2-4aed-5ad2-a4a0-351726cd41c0,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,White,"Minimalist, Modern"
Resin Monkey Money Box Ornament - Blue,400,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/resin-monkey-money-box-ornament-blue-1.jpg,https://cityw.com.sa/product/resin-monkey-money-box-ornament-blue/,cm,23,24,35,statue-and-antique,Accessories,915892185,c7923339-0580-5551-9bbd-20eb9a880be0,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Denim Blue,"Modern, Boho"
Rhinestone Textured Resin Skull Ornament Coin Bank - Silver & Gold,130,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/rhinestone-textured-resin-skull-ornament-coin-bank-silver-gold-1.jpg,https://cityw.com.sa/product/resin-skull-ornament-coin-bank-silver-and-gold/,cm,14,23,17,statue-and-antique,Accessories,1671311329,3e34ceed-3f1f-5e8a-b5ab-03e0e84a8847,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Grey,"Modern, Minimalist"
Sculptural Ceramic Face Vase 43cm - Green Yellow & White,250,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/sculptural-ceramic-face-vase-43cm-green-yellow-white-1.jpg,https://cityw.com.sa/product/sculptural-ceramic-face-vase-43cm-green-yellow-and-white/,cm,21,16,43,vase,Accessories,1529173004,4b54fdd8-429b-5000-b9d9-5bc7d936d32f,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,White,"Modern, Minimalist"
Sculptural Hand Bookends Set of 2 Polyresin - Gold,240,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/sculptural-hand-bookends-set-of-2-polyresin-gold-1.jpg,https://cityw.com.sa/product/bookend-holding-fingers-2-set/,cm,21,14,16,statue-and-antique,Accessories,1516576213,77d329b8-3496-5297-8b5f-3f9444a2ba1a,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Modern, Classy"
Sculptural Polyresin Figures Decor Ornament - Bronze & Gold,290,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/sculptural-polyresin-figures-decor-ornament-bronze-gold-1.jpg,https://cityw.com.sa/product/deco-object-elements-come-together-51c/,cm,12,22,51,statue-and-antique,Accessories,1364389929,ce472007-99f7-5c85-9f91-bb041f031084,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
Sculptural Polyresin Figurine Ornament 37cm - Gold & Black,250,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/sculptural-polyresin-figurine-ornament-37cm-gold-black-1.jpg,https://cityw.com.sa/product/deco-figurine-jumper-gold-37cm/,cm,21,30,37,statue-and-antique,Accessories,20999396,69e934bb-6c4e-5841-93de-ce934cdf7f74,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Modern, Minimalist"
Set of 2 Apple & Pear Sculptures - Antique White & Bronze,340,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/set-of-2-apple-pear-sculptures-antique-white-bronze-2.jpg,https://cityw.com.sa/product/set-of-2-apple-and-pear-sculptures-antique-white-and-bronze/,cm,17,17,35,statue-and-antique,Accessories,1381034935,80dbfc25-d63a-5db7-b29b-8f9a6f2474e8,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Beige,"Boho, Rustic_Modern"
Set of 2 Marble Candle Holders - White & Gold,370,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/set-of-2-marble-candle-holders-white-gold-1-1.jpg,https://cityw.com.sa/product/set-of-2-marble-candle-holders-white-and-gold/,cm,9,9,22,vase,Accessories,1150457760,69563521-a746-5ca2-b290-7e6953f6c838,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Ivory,"Modern, Minimalist"
Set of 2 Metal Decorative Trays - Black & Gold,600,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/set-of-2-metal-decorative-trays-black-gold-1.jpg,https://cityw.com.sa/product/set-of-2-metal-decorative-trays-black-and-gold/,cm,50,5,36,serving-utensil-and-tray,Accessories,1214085016,cd0bf219-ac23-51fb-bc5f-249323d7341d,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
Set of 2 Wood Serving Trays - Brown,530,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/set-of-2-wood-serving-trays-brown-1.jpg,https://cityw.com.sa/product/set-of-2-wood-serving-trays-brown/,cm,58,40,30,serving-utensil-and-tray,Accessories,565257233,cbfbc6e3-15df-5342-a9f0-be0925d2925c,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Walnut,Rustic_Modern
Skating Astronaut Ceramic Deco Figurine - Black & Gold,280,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/skating-astronaut-ceramic-deco-figurine-black-gold-1.jpg,https://cityw.com.sa/product/skating-astronaut-ceramic-deco-figurine-black-and-gold/,cm,17,26,21,statue-and-antique,Accessories,1127685254,17552088-0da7-5a9e-8e18-b4c143db08f3,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
Splash-Painted Bulldog Polyresin Figurine 32cm - Multicolour,190,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/splash-painted-bulldog-polyresin-figurine-32cm-multicolour-1.jpg,https://cityw.com.sa/product/deco-figurine-splash-bulldog-32cm/,cm,18,21,32,statue-and-antique,Accessories,1466142762,2098911f-4724-5153-82ca-1f1cf3701b4c,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,White,Eclectic
Square Wood Tray with Cut-In Handles - Natural White & Wood,320,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/square-wood-tray-with-cut-in-handles-natural-white-wood-1.jpg,https://cityw.com.sa/product/square-wood-tray-with-cut-in-handles-natural-white-and-wood/,cm,44,45,5,serving-utensil-and-tray,Accessories,1025010056,bd9554a5-cd06-5dcc-9ea2-7f6141256139,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Beige,"Modern, Minimalist"
Wood Decorative Tray with Handles - Black White & Gold,430,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/wood-decorative-tray-with-handles-black-white-gold-1.jpg,https://cityw.com.sa/product/wood-decorative-tray-with-handles-black-white-and-gold/,cm,61,41,5,serving-utensil-and-tray,Accessories,1484095699,51f0485f-dcc8-59c3-bd7a-f59f6ce41101,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Walnut,"Modern, Minimalist"
XL Polyresin Gorilla Figurine - Gold,1950,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/xl-polyresin-gorilla-figurine-gold-1.jpg,https://cityw.com.sa/product/deco-figurine-monkey-gorilla-side-xl-g/,cm,55,60,76,serving-utensil-and-tray,Accessories,1306954220,a9b8fded-2583-5365-8ee9-684fe2622a88,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Modern, Classy"
XXL Polyresin Animal Statuary - Gold & Multicolour,6950,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/xxl-polyresin-animal-statuary-gold-multicolour-1.jpg,https://cityw.com.sa/product/xxl-polyresin-animal-statuary-gold-and-multicolour/,cm,69,102,152,serving-utensil-and-tray,Accessories,930192505,30a6ab5b-d0ad-5c9d-b419-102d02dbc401,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,Eclectic
120cm Artificial Fiddle Leaf Plant - Green,430,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/120cm-artificial-fiddle-leaf-plant-green-1.jpg,https://cityw.com.sa/product/deco-plant-fiddle-leaf-120cm/,cm,30,17,120,flower-pot-and-plant,Artificial Plants & Trees,1858966366,403e84c6-2660-5954-9cb6-182d81ddddb4,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Forest Green,Tropical
Canvas Photo Frame 100x100 cm - Multicolour,210,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/canvas-photo-frame-100x100-cm-multicolour-1.jpg,https://cityw.com.sa/product/canvas-photo-frame-100x100-cm-multicolour/,cm,2,100,100,art-canvas,Photo Frames,734252115,a55096c5-c7b7-5ca6-84a8-f7200daca4f8,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,Traditional
Come Back To Bed Cotton Canvas Wall Art Print - Pink & Green,80,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/come-back-to-bed-cotton-canvas-wall-art-print-pink-green-1.jpg,https://cityw.com.sa/product/come-back-to-bed-cotton-canvas-wall-art-print-pink-and-green/,cm,40,,50,art-canvas,Photo Frames,227807855,cba1ae59-e583-5914-b588-e9a97717dc6f,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,,Modern
Comic Pop Art Wood Framed Wall Print 120x90 cm - Black & Multi,650,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/comic-pop-art-wood-framed-wall-print-120x90-cm-black-multi-2.jpg,https://cityw.com.sa/product/comic-pop-art-wood-framed-wall-print-120-90-cm-black-and-multi/,cm,120,2,90,art-canvas,Photo Frames,748021909,5873797c-5f81-5d97-8c33-2aaf145c4f3d,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,Minimalist
Comic-Print Fir Wood Canvas Photo Frame - Multicolour,650,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/comic-print-fir-wood-canvas-photo-frame-multicolour-2.jpg,https://cityw.com.sa/product/comic-print-fir-wood-canvas-photo-frame-multicolour/,cm,75,2,120,art-canvas,Photo Frames,58672197,bfc22b82-c45e-514b-9699-b0d61750fd90,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,,Modern
Diva Portrait Photo Frame 108x170 cm - Black & White,1950,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/diva-portrait-photo-frame-108x170-cm-black-white-1.jpg,https://cityw.com.sa/product/picture-frame-diva-100x172cm/,cm,108,4,170,art-canvas,Photo Frames,1166327470,10befadf-5cc7-53a3-9377-7f6b08c37867,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,Classy
Glass Photo Print Wall Panel - Multi,300,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/glass-photo-print-wall-panel-multi-1.jpg,https://cityw.com.sa/product/glass-photo-print-wall-panel-multi/,cm,60,60,,art-canvas,Photo Frames,1437495662,631d6cff-1cda-5907-afe4-adc33dc8c0c3,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,,Boho
Glass Wall Art Photo Panel - Pink & Teal,1890,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/glass-wall-art-photo-panel-pink-teal-1.jpg,https://cityw.com.sa/product/glass-wall-art-photo-panel-pink-and-teal/,cm,,120,160,art-canvas,Photo Frames,969812432,2bc98a64-41c7-5ee9-ae60-8545230492c8,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Blush,Classy
Large Abstract Textured Wall Art Panel 120Ã—180 cm - Gold & Bronze,1470,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/large-abstract-textured-wall-art-panel-120-180-cm-gold-bronze-1.jpg,https://cityw.com.sa/product/large-abstract-textured-wall-art-panel-120-180-cm-gold-and-bronze/,cm,4,120,180,art-canvas,Photo Frames,1927609449,74c91bcb-e5e2-52ba-b76f-9a6e504e7b0e,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Mustard,"Modern, Minimalist"
Abstract Face Metal Wall Coat Rack - Black & Gold,470,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/abstract-face-metal-wall-coat-rack-black-gold-1.jpg,https://cityw.com.sa/product/abstract-face-metal-wall-coat-rack-black-and-gold/,cm,61,5,90,art-canvas,Racks,133665395,09c369c1-df51-55d5-87ce-ddb30cfbdea9,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
Bird Party Steel Coat Rack with 10 Hooks - Multi,250,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/bird-party-steel-coat-rack-with-10-hooks-multi-1.jpg,https://cityw.com.sa/product/coat-rack-bird-party/,cm,101,6,20,decorative-hanger,Racks,19748605,f14ac4e0-7fa1-5d90-8d80-1f939e5d8992,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Teal,"Boho, Rustic_Modern"
Botanical Steel Wall-Mounted Coat Rack - Green & Bronze,450,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/botanical-steel-wall-mounted-coat-rack-green-bronze-1.jpg,https://cityw.com.sa/product/coat-rack-jungle-party-colore/,cm,110,6,43,decorative-hanger,Racks,1148051566,e294c5be-dd68-548b-861a-e9a90e0089dc,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,,"Boho, Tropical"
Entryway Horse-Design Metal Coat Rack with 5 Hooks - Multicolour,210,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/entryway-horse-design-metal-coat-rack-with-5-hooks-multicolour-1.jpg,https://cityw.com.sa/product/entryway-horse-design-metal-coat-rack-with-5-hooks-multicolour/,cm,63,5,22,decorative-hanger,Racks,1569011270,25b4cb6e-e057-5c4d-9227-63f47a047669,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Scandinavian, Minimalist"
Rotating Wood-Look Shoe Rack 160cm - Brown & White,840,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/rotating-wood-look-shoe-rack-160cm-brown-white-1.jpg,https://cityw.com.sa/product/rotating-wood-look-shoe-rack-160cm-brown-and-white/,cm,60,60,160,shelve,Racks,1543072446,1441071d-85f1-501d-98a4-ffe40677567d,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Walnut,"Modern, Minimalist"
Rotating Wood-Look Shoe Rack 160cm - Brown & White - 160x60 cm,840,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/rotating-wood-look-shoe-rack-160cm-brown-white-160x60-cm-1.jpg,https://cityw.com.sa/product/rotating-wood-look-shoe-rack-160cm-brown-and-white-160-60-cm/,cm,60,60,160,shelve,Racks,561698135,f40eb0e7-8a18-57ce-9e67-7b28108948f8,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Walnut,"Modern, Minimalist"
Tree Branch Steel Coat Rack - Black & Gold,870,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/tree-branch-steel-coat-rack-black-gold-1.jpg,https://cityw.com.sa/product/coat-rack-ants-on-a-tree-big/,cm,75,8,160,decorative-hanger,Racks,1041983511,e9ea6274-7726-5696-8484-5dce64ba764c,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,Minimalist
230x330 cm Handwoven Cotton Dhurrie Rug - Ivory & Natural,450,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/230x330-cm-handwoven-cotton-dhurrie-rug-ivory-natural-1.jpg,https://cityw.com.sa/product/230-330-cm-handwoven-cotton-dhurrie-rug-ivory-and-natural/,cm,230,330,,carpet,Rugs,1537163697,babaa373-350c-574b-a3a4-47edf1127b63,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Ivory,"Boho, Minimalist"
230x330 cm Handwoven Cotton Dhurry Rug - Ivory,510,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/230x330-cm-handwoven-cotton-dhurry-rug-ivory-1.jpg,https://cityw.com.sa/product/230-330-cm-handwoven-cotton-dhurry-rug-ivory/,cm,230,330,,carpet,Rugs,1910126985,fd02f861-80b5-55c7-a379-35c1fe88938a,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Light Grey,"Modern, Minimalist"
230x330 cm Handwoven Cotton Dhurry Rug - Ivory & Charcoal,830,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/230x330-cm-handwoven-cotton-dhurry-rug-ivory-charcoal-1.jpg,https://cityw.com.sa/product/230-330-cm-handwoven-cotton-dhurry-rug-ivory-and-charcoal/,cm,230,330,,carpet,Rugs,2054614817,f0c19ead-02ef-56da-9efa-e0e4b751b57e,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Light Grey,"Modern, Minimalist"
230x330 cm Handwoven Cotton Dhurry Rug - Navy Blue & Ivory,390,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/230x330-cm-handwoven-cotton-dhurry-rug-navy-blue-ivory-1.jpg,https://cityw.com.sa/product/230-330-cm-handwoven-cotton-dhurry-rug-navy-blue-and-ivory/,cm,230,330,,carpet,Rugs,1866161297,aaacc4ff-85e4-5840-91d6-e0579d68697f,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Navy,"Modern, Minimalist"
